item_code,frequency,decision_text,domain
"S_P_ACHES_CL1","Occasionally","Occasionally complains of headaches, stomachaches, or body aches.","General"
"S_P_ACHES_CL1","Almost Never","Almost never complains of headaches, stomachaches, or body aches.","General"
"O_P_HUNGER_CL1","Almost Always","Almost always reports being hungry.","General"
"O_P_HUNGER_CL1","Frequently","Frequently reports being hungry.","General"
"O_P_HUNGER_CL1","Sometimes","Sometimes reports being hungry.","General"
"O_P_HUNGER_CL1","Occasionally","Occasionally reports being hungry.","General"
"O_P_HUNGER_CL1","Almost Never","Almost never reports being hungry.","General"
"O_P_HYGIENE_CL1","Almost Always","Almost always appears to have the resources to address basic hygiene needs.","General"
"O_P_HYGIENE_CL1","Frequently","Frequently appears to have the resources to address basic hygiene needs.","General"
"O_P_HYGIENE_CL1","Sometimes","Sometimes appears to have the resources to address basic hygiene needs.","General"
"O_P_HYGIENE_CL1","Occasionally","Occasionally appears to have the resources to address basic hygiene needs.","General"
"O_P_HYGIENE_CL1","Almost Never","Almost never appears to have the resources to address basic hygiene needs.","General"
"O_P_CLOTHES_CL1","Almost Always","Almost always shows up to school with adequate clothing.","General"
"O_P_HYGEINE_CL1","Almost Always","Almost always appears to have the resources to address basic hygiene needs.","General"
"O_P_HYGEINE_CL1","Frequently","Frequently appears to have the resources to address basic hygiene needs.","General"
"O_P_HYGEINE_CL1","Sometimes","Sometimes appears to have the resources to address basic hygiene needs.","General"
"O_P_HYGEINE_CL1","Occasionally","Occasionally appears to have the resources to address basic hygiene needs.","General"
"O_P_HYGEINE_CL1","Almost Never","Almost never appears to have the resources to address basic hygiene needs.","General"
"O_P_CLOTHES_CL1","Almost Always","Almost always shows up to school with adequate clothing.","General"
"O_P_CLOTHES_CL1","Frequently","Frequently shows up to school with adequate clothing.","General"
"O_P_CLOTHES_CL1","Sometimes","Sometimes shows up to school with adequate clothing.","General"
"O_P_CLOTHES_CL1","Occasionally","Occasionally shows up to school with adequate clothing.","General"
"O_P_CLOTHES_CL1","Almost Never","Almost never shows up to school with adequate clothing.","General"
"S_CONTENT","Almost Always","Almost always appears content.","General"
"S_CONTENT","Frequently","Frequently appears content.","General"
"S_CONTENT","Sometimes","Sometimes appears content","General"
"S_CONTENT","Occasionally","Occasionally appears content.","General"
"S_CONTENT","Almost Never","Almost never appears content.","General"
"A_S_CONFIDENT_CL2","Almost Always","Almost always displays confidence in self.","General"
"A_S_CONFIDENT_CL2","Frequently","Frequently displays confidence in self.","General"
"A_S_CONFIDENT_CL2","Sometimes","Sometimes displays confidence in self","General"
"A_S_CONFIDENT_CL2","Occasionally","Occasionally displays confidence in self.","General"
"A_S_CONFIDENT_CL2","Almost Never","Almost never displays confidence in self.","General"
"A_S_POSOUT_CL2","Almost Always","Almost always demonstrates positive outlook.","General"
"A_S_POSOUT_CL2","Frequently","Frequently demonstrates positive outlook.","General"
"A_S_POSOUT_CL2","Sometimes","Sometimes demonstrates positive outlook","General"
"A_S_POSOUT_CL2","Occasionally","Occasionally demonstrates positive outlook.","General"
"A_S_POSOUT_CL2","Almost Never","Almost never demonstrates positive outlook.","General"
"S_P_ACHES_CL2","Almost Always","Almost always complains of headaches, stomachaches, or body aches.","General"
"S_P_ACHES_CL2","Frequently","Frequently complains of headaches, stomachaches, or body aches.","General"
"S_P_ACHES_CL2","Sometimes","Sometimes complains of headaches, stomachaches, or body aches.","General"
"S_P_ACHES_CL2","Occasionally","Occasionally complains of headaches, stomachaches, or body aches.","General"
"S_P_ACHES_CL2","Almost Never","Almost never complains of headaches, stomachaches, or body aches.","General"
"S_NERVOUS","Almost Always","Almost always appears nervous, worried, tense, or fearful.","General"
"S_NERVOUS","Frequently","Frequently appears nervous, worried, tense, or fearful.","General"
"S_NERVOUS","Sometimes","Sometimes appears nervous, worried, tense, or fearful","General"
"S_NERVOUS","Occasionally","Occasionally appears nervous, worried, tense, or fearful.","General"
"S_NERVOUS","Almost Never","Almost never appears nervous, worried, tense, or fearful.","General"
"S_SAD","Almost Always","Almost always appears sad.","General"
"S_SAD","Frequently","Frequently appears sad.","General"
"S_SAD","Sometimes","Sometimes appears sad","General"
"S_SAD","Occasionally","Occasionally appears sad.","General"
"S_SAD","Almost Never","Almost never appears sad.","General"
"S_SOCIALCONN","Almost Always","Almost always has friends/social connections.","General"
"S_SOCIALCONN","Frequently","Frequently has friends/social connections.","General"
"S_SOCIALCONN","Sometimes","Sometimes has friends/social connections.","General"
"S_SOCIALCONN","Occasionally","Occasionally has friends/social connections.","General"
"S_SOCIALCONN","Almost Never","Almost never has friends/social connections.","General"
"S_FRIEND","Almost Always","Almost always has at least one close friend at school.","General"
"S_FRIEND","Frequently","Frequently has at least one close friend at school.","General"
"S_FRIEND","Sometimes","Sometimes has at least one close friend at school.","General"
"S_FRIEND","Occasionally","Occasionally has at least one close friend at school.","General"
"S_FRIEND","Almost Never","Almost never has at least one close friend at school.","General"
"S_PROSOCIAL","Almost Always","Almost always demonstrates prosocial skills.","General"
"S_PROSOCIAL","Frequently","Frequently demonstrates prosocial skills.","General"
"S_PROSOCIAL","Sometimes","Sometimes demonstrates prosocial skills.","General"
"S_PROSOCIAL","Occasionally","Occasionally demonstrates prosocial skills.","General"
"S_PROSOCIAL","Almost Never","Almost never demonstrates prosocial skills.","General"
"S_PEERCOMM","Almost Always","Almost always communicates with peers effectively.","General"
"S_PEERCOMM","Frequently","Frequently communicates with peers effectively.","General"
"S_PEERCOMM","Sometimes","Sometimes communicates with peers effectively.","General"
"S_PEERCOMM","Occasionally","Occasionally communicates with peers effectively.","General"
"S_PEERCOMM","Almost Never","Almost never communicates with peers effectively.","General"
"A_S_ADULTCOMM_CL2","Almost Always","Almost always communicates with adults effectively.","General"
"A_S_ADULTCOMM_CL2","Frequently","Frequently communicates with adults effectively.","General"
"A_S_ADULTCOMM_CL2","Sometimes","Sometimes communicates with adults effectively.","General"
"A_S_ADULTCOMM_CL2","Occasionally","Occasionally communicates with adults effectively.","General"
"A_S_ADULTCOMM_CL2","Almost Never","Almost never communicates with adults effectively.","General"
"A_P_S_ARTICULATE_CL3","Almost Always","Almost always articulates clearly enough to be understood.","General"
"A_P_S_ARTICULATE_CL3","Frequently","Frequently articulates clearly enough to be understood.","General"
"A_P_S_ARTICULATE_CL3","Sometimes","Sometimes articulates clearly enough to be understood.","General"
"A_P_S_ARTICULATE_CL3","Occasionally","Occasionally articulates clearly enough to be understood.","General"
"A_P_S_ARTICULATE_CL3","Almost Never","Almost never articulates clearly enough to be understood.","General"
"S_POSADULT","Almost Always","Almost always has a positive relationship with at least one adult in the school.","General"
"S_POSADULT","Frequently","Frequently has a positive relationship with at least one adult in the school.","General"
"S_POSADULT","Sometimes","Sometimes has a positive relationship with at least one adult in the school.","General"
"S_POSADULT","Occasionally","Occasionally has a positive relationship with at least one adult in the school.","General"
"S_POSADULT","Almost Never","Almost never has a positive relationship with at least one adult in the school.","General"
"S_SCHOOLCONN","Almost Always","Almost always appears to experience a sense of connection in their school.","General"
"S_SCHOOLCONN","Frequently","Frequently appears to experience a sense of connection in their school.","General"
"S_SCHOOLCONN","Sometimes","Sometimes appears to experience a sense of connection in their school","General"
"S_SCHOOLCONN","Occasionally","Occasionally appears to experience a sense of connection in their school.","General"
"S_SCHOOLCONN","Almost Never","Almost never appears to experience a sense of connection in their school.","General"
"S_O_COMMCONN_CL1","Almost Always","Almost always appears to experience a sense of connection in their community.","General"
"S_O_COMMCONN_CL1","Frequently","Frequently appears to experience a sense of connection in their community.","General"
"S_O_COMMCONN_CL1","Sometimes","Sometimes appears to experience a sense of connection in their community","General"
"S_O_COMMCONN_CL1","Occasionally","Occasionally appears to experience a sense of connection in their community.","General"
"S_O_COMMCONN_CL1","Almost Never","Almost never appears to experience a sense of connection in their community.","General"
"A_S_O_ACTIVITY_CL2","Almost Always","Almost always engaged in at least one extracurricular activity.","General"
"A_S_O_ACTIVITY_CL2","Frequently","Frequently engaged in at least one extracurricular activity.","General"
"A_S_O_ACTIVITY_CL2","Sometimes","Sometimes engaged in at least one extracurricular activity","General"
"A_S_O_ACTIVITY_CL2","Occasionally","Occasionally engaged in at least one extracurricular activity.","General"
"A_S_O_ACTIVITY_CL2","Almost Never","Almost never engaged in at least one extracurricular activity.","General"
"O_RECIPROCAL","Almost Always","Family-school communication is almost always reciprocal.","General"
"O_RECIPROCAL","Frequently","Family-school communication is frequently reciprocal.","General"
"O_RECIPROCAL","Sometimes","Family-school communication is sometimes reciprocal.","General"
"O_RECIPROCAL","Occasionally","Family-school communication is occasionally reciprocal.","General"
"O_RECIPROCAL","Almost Never","Family-school communication is almost never reciprocal.","General"
"O_POSADULT","Almost Always","Almost always has a positive adult outside of school with whom they feel close.","General"
"O_POSADULT","Frequently","Frequently has a positive adult outside of school with whom they feel close.","General"
"O_POSADULT","Sometimes","Sometimes has a positive adult outside of school with whom they feel close.","General"
"O_POSADULT","Occasionally","Occasionally has a positive adult outside of school with whom they feel close.","General"
"O_POSADULT","Almost Never","Almost never has a positive adult outside of school with whom they feel close.","General"
"O_ADULTBEST","Almost Always","Almost always reports having an adult outside of school who wants them to do their best.","General"
"O_ADULTBEST","Frequently","Frequently reports having an adult outside of school who wants them to do their best.","General"
"O_ADULTBEST","Sometimes","Frequently reports having an adult outside of school who wants them to do their best.","General"
"O_ADULTBEST","Occasionally","Occasionally reports having an adult outside of school who wants them to do their best.","General"
"O_ADULTBEST","Almost Never","Almost never reports having an adult outside of school who wants them to do their best.","General"
"O_TALK","Almost Always","Almost always reports having someone outside of school to talk to about their interests and problems.","General"
"O_TALK","Frequently","Frequently reports having someone outside of school to talk to about their interests and problems.","General"
"O_TALK","Sometimes","Sometimes reports having someone outside of school to talk to about their interests and problems.","General"
"O_TALK","Occasionally","Occasionally reports having someone outside of school to talk to about their interests and problems.","General"
"O_TALK","Almost Never","Almost never reports having someone outside of school to talk to about their interests and problems.","General"
"O_ROUTINE","Almost Always","Almost always shares having a caregiver who helps them with daily routines.","General"
"O_ROUTINE","Frequently","Frequently shares having a caregiver who helps them with daily routines.","General"
"O_ROUTINE","Sometimes","Sometimes shares having a caregiver who helps them with daily routines.","General"
"O_ROUTINE","Occasionally","Occasionally shares having a caregiver who helps them with daily routines.","General"
"O_ROUTINE","Almost Never","Almost never shares having a caregiver who helps them with daily routines.","General"
"O_FAMILY","Almost Always","Almost always reports getting along with family members.","General"
"O_FAMILY","Frequently","Frequently reports getting along with family members.","General"
"O_FAMILY","Sometimes","Sometimes reports getting along with family members.","General"
"O_FAMILY","Occasionally","Occasionally reports getting along with family members.","General"
"O_FAMILY","Almost Never","Almost never reports getting along with family members.","General"
"O_P_HUNGER_CL2","Almost Always","Almost always reports being hungry.","General"
"O_P_HUNGER_CL2","Frequently","Frequently reports being hungry.","General"
"O_P_HUNGER_CL2","Sometimes","Sometimes reports being hungry.","General"
"O_P_HUNGER_CL2","Occasionally","Occasionally reports being hungry.","General"
"O_P_HUNGER_CL2","Almost Never","Almost never reports being hungry.","General"
"O_P_CLOTHES_CL2","Almost Always","Almost always shows up to school with adequate clothing.","General"
"O_P_CLOTHES_CL2","Frequently","Frequently shows up to school with adequate clothing.","General"
"O_P_CLOTHES_CL2","Sometimes","Sometimes shows up to school with adequate clothing.","General"
"O_P_CLOTHES_CL2","Occasionally","Occasionally shows up to school with adequate clothing.","General"
"O_P_CLOTHES_CL2","Almost Never","Almost never shows up to school with adequate clothing.","General"
"O_RESOURCE","Almost Always","Almost always reports having access to resources (materials, internet) to complete schoolwork.","General"
"O_RESOURCE","Frequently","Frequently reports having access to resources (materials, internet) to complete schoolwork.","General"
"O_RESOURCE","Sometimes","Sometimes reports having access to resources (materials, internet) to complete schoolwork.","General"
"O_RESOURCE","Occasionally","Occasionally reports having access to resources (materials, internet) to complete schoolwork.","General"
"O_RESOURCE","Almost Never","Almost never reports having access to resources (materials, internet) to complete schoolwork.","General"
"B_O_HOUSING_CL2","Almost Always","Almost always reports not having a stable living situation.","General"
"B_O_HOUSING_CL2","Frequently","Frequently reports not having a stable living situation.","General"
"B_O_HOUSING_CL2","Sometimes","Sometimes reports not having a stable living situation.","General"
"B_O_HOUSING_CL2","Occasionally","Occasionally reports not having a stable living situation.","General"
"B_O_HOUSING_CL2","Almost Never","Almost never reports not having a stable living situation.","General"
"B_O_FAMSTRESS_CL2","Almost Always","The student's family is almost always experiencing significant stressors.","General"
"B_O_FAMSTRESS_CL2","Frequently","The student's family is frequently experiencing significant stressors.","General"
"B_O_FAMSTRESS_CL2","Sometimes","The student's family is sometimes experiencing significant stressors.","General"
"B_O_FAMSTRESS_CL2","Occasionally","The student's family is occasionally experiencing significant stressors.","General"
"B_O_FAMSTRESS_CL2","Almost Never","The student's family is almost never experiencing significant stressors.","General"
"B_O_NBHDSTRESS_CL2","Almost Always","The student's neighborhood is almost always experiencing significant stressors.","General"
"B_O_NBHDSTRESS_CL2","Frequently","The student's neighborhood is frequently experiencing significant stressors.","General"
"B_O_NBHDSTRESS_CL2","Sometimes","The student's neighborhood is sometimes experiencing significant stressors.","General"
"B_O_NBHDSTRESS_CL2","Occasionally","The student's neighborhood is occasionally experiencing significant stressors.","General"
"B_O_NBHDSTRESS_CL2","Almost Never","The student's neighborhood is almost never experiencing significant stressors.","General"
"A_S_O_ACTIVITY_CL3","Almost Always","Almost always engaged in at least one extracurricular activity.","General"
"A_S_O_ACTIVITY_CL3","Frequently","Frequently engaged in at least one extracurricular activity.","General"
"A_S_O_ACTIVITY_CL3","Sometimes","Sometimes engaged in at least one extracurricular activity.","General"
"A_S_O_ACTIVITY_CL3","Occasionally","Occasionally engaged in at least one extracurricular activity.","General"
"A_S_O_ACTIVITY_CL3","Almost Never","Almost never engaged in at least one extracurricular activity.","General"
"S_O_COMMCONN_CL2","Almost Always","Almost always appears to experience a sense of connection in their community.","General"
"S_O_COMMCONN_CL2","Frequently","Frequently appears to experience a sense of connection in their community.","General"
"S_O_COMMCONN_CL2","Sometimes","Sometimes appears to experience a sense of connection in their community","General"
"S_O_COMMCONN_CL2","Occasionally","Occasionally appears to experience a sense of connection in their community.","General"
"S_O_COMMCONN_CL2","Almost Never","Almost never appears to experience a sense of connection in their community.","General"
"O_P_HYGIENE_CL2","Almost Always","Almost always appears to have the resources to address basic hygiene needs.","General"
"O_P_HYGIENE_CL2","Frequently","Frequently appears to have the resources to address basic hygiene needs.","General"
"O_P_HYGIENE_CL2","Sometimes","Sometimes appears to have the resources to address basic hygiene needs.","General"
"O_P_HYGIENE_CL2","Occasionally","Occasionally appears to have the resources to address basic hygiene needs.","General"
"O_P_HYGIENE_CL2","Almost Never","Almost never appears to have the resources to address basic hygiene needs.","General"
